,site,round,sample_pt,sample_id,year,barcode_id,active_flower,pre_id,final_id,notes,plate,well,well_letter,well_number,microcentrifuge,pollen,tube_m,tube_pollen_m,pollen_m,mass_factor,pesticide,lauren_pollen,natalia_pollen,gut_plate,rerun_plate
62,ED,7,ED27A,7_ED27A,2022,ED7_27A_02,VICR,B. impatiens,B. impatiens,,impatiens_DNA_09,H12,H,12,y,y,NA,NA,0,NA,,y,,bcparasite08_F2,
63,ED,7,ED31,7_ED31,2022,ED7_31_02,HYRA,B. impatiens,B. impatiens,,impatiens_DNA_07,H12,H,12,y,y,NA,NA,0,NA,,,,bcparasite03_F1,
64,HR,7,HR04,7_HR04,2022,HR7_04_02,SPDO,B. impatiens,B. impatiens,,impatiens_DNA_07,A10,A,10,y,y,NA,NA,0,NA,,y,,bcparasite01_B4,
65,HR,7,HR28,7_HR28,2022,HR7_28_01,IMGL,B. impatiens,B. impatiens,,impatiens_DNA_12,E7,E,7,y,y,NA,NA,0,NA,,,,,
66,HR,7,HR12C,7_HR12C,2022,HR7_12C_04,CASI,B. impatiens,B. impatiens,,impatiens_DNA_10,D6,D,6,y,y,NA,NA,0,NA,,,,,
67,HR,7,HR05A,7_HR05A,2022,HR7_05A_01,flying,B. impatiens,B. impatiens,,impatiens_DNA_12,F2,F,2,y,y,NA,NA,0,NA,,,,,
68,HR,7,HR36,7_HR36,2022,HR7_36_01,IMGL,B. impatiens,B. impatiens,,impatiens_DNA_12,E8,E,8,y,y,NA,NA,0,NA,,,,,
69,HR,7,HR35,7_HR35,2022,HR7_35_01,TRME,B. vosnesenskii,B. impatiens,,impatiens_DNA_09,E7,E,7,y,y,NA,NA,0,NA,,y,,bcparasite06_D9,
70,HR,7,HR36,7_HR36,2022,HR7_36_05,IMGL,B. impatiens,B. impatiens,,impatiens_DNA_12,E3,E,3,y,y,NA,NA,0,NA,,,,,
71,HR,7,HR31,7_HR31,2022,HR7_31_01,VICR,B. impatiens,B. impatiens,,impatiens_DNA_10,D1,D,1,y,y,NA,NA,0,NA,,,,,
72,HR,7,HR23,7_HR23,2022,HR7_23_02,SANE,B. impatiens,B. impatiens,,impatiens_DNA_10,B8,B,8,y,y,NA,NA,0,NA,,,,,
73,NR,7,NR07A,7_NR07A,2022,NR7_07A_01,VICR,B. impatiens,B. impatiens,,impatiens_DNA_04,C11,C,11,y,y,NA,NA,0,NA,,,,,
74,NR,7,NR08A,7_NR08A,2022,NR7_08A_10,TAVU,B. impatiens,B. impatiens,,impatiens_DNA_01,E3,E,3,n,y,NA,NA,0,NA,,,,,
75,NR,7,NR29,7_NR29,2022,NR7_29_05,RUAR,B. impatiens,B. impatiens,,impatiens_DNA_03,F8,F,8,y,y,NA,NA,0,NA,,,,,
76,NR,7,NR27,7_NR27,2022,NR7_27_02,HYRA,B. impatiens,B. impatiens,,impatiens_DNA_04,B10,B,10,y,y,NA,NA,0,NA,,,,,
77,NR,7,NR04A,7_NR04A,2022,NR7_04A_03,CIAR,B. impatiens,B. impatiens,,impatiens_DNA_04,F8,F,8,y,y,NA,NA,0,NA,,,,,
