row_names	input	filtered	denoisedF	denoisedR	merged	nosingletons	nochimeras	percent_singletons	percent_chimeras	percent_retained_of_total
HR18_18_01	36945	27838	27754	27722	26396	26097	24945	1.13274738596758	4.41430049430969	67.5192854242793
HR18_18_02	44141	35514	35360	35388	31644	31407	29785	0.748957148274556	5.16445378418824	67.476948868399
HR18_24_03	43493	31810	31536	31558	29824	29555	28837	0.901958154506431	2.42936897310099	66.3026234106638
HR18_27_01	40873	30065	30019	29991	24909	24789	23506	0.481753583042277	5.17568276251563	57.5098475766398
HR18_27_02	36923	26431	26295	26148	18909	18824	14730	0.449521391929764	21.748831279218	39.8938331121523
HR18_32_02	36992	31317	31245	30989	28669	28467	9450	0.704593812131577	66.803667404363	25.5460640138408
HR18_32_20	37517	31279	31215	31066	28664	28563	14230	0.352358358917101	50.1803031894409	37.9294719727057
HR19_04_09	40475	32069	32036	32048	31656	31644	31258	0.0379075056861353	1.21982050309695	77.2279184681902
HR19_04_12	45599	36067	36054	36044	35581	35501	35451	0.2248390995194	0.14084110306753	77.745125989605
HR19_05A_01	38588	20669	20616	20629	20285	20264	20181	0.10352477199902	0.409593367548368	52.2986420648906
HR19_07_01	36525	23862	23789	23790	22431	22406	21904	0.111452900004466	2.24047130232974	59.9698836413415
HR19_07_02	42905	24204	24151	24151	18857	18833	17273	0.127273691467352	8.28333244836192	40.2587111059317
HR19_07_03	38451	18530	18457	18470	14701	14669	14431	0.217672267192697	1.62246915263481	37.5308834620686
HR19_07_12	50389	40037	39954	39726	39181	39154	38989	0.0689109517368109	0.421412882464111	77.3760146063625
HR19_07_13	38792	31454	31443	31436	31020	31020	30937	0	0.267569310122511	79.7509795834193
HR19_07_15	36571	27326	27314	27304	3616	3616	3610	0	0.165929203539832	9.87120942823549
HR19_08_01	38951	28937	28865	28908	27876	27845	27698	0.111206772851205	0.527922427724903	71.109855972889
HR19_18_02	49760	47201	47192	47161	43793	43787	21269	0.0137008197657167	51.4262223947747	42.7431672025723
HR19_22_01	39029	30730	30723	30677	30356	30356	30344	0	0.0395308999868291	77.7473160982859
HR19_23_01	33088	25614	25495	25489	24576	24450	23829	0.5126953125	2.5398773006135	72.0170454545455
HR19_24_05	36179	22147	22045	22005	20671	20627	19826	0.212858594165738	3.8832598051098	54.7997457088366
HR19_24_06	31891	21078	20869	20843	19434	19317	18775	0.60203766594627	2.80581870890924	58.8724091436455
HR19_24_08	41659	26303	26194	26012	23699	23574	22755	0.527448415544967	3.47416645456859	54.6220504572841
HR19_25_02	34615	18951	18943	18928	18733	18716	18716	0.0907489457107715	0	54.0690452116135
HR19_27_07	30882	25076	25054	25035	24833	24799	24799	0.136914589457575	0	80.302441551713
HR19_27_08	3236	2524	2521	2518	2500	2500	2500	0	0	77.2558714462299
HR19_27_09	36036	26147	26133	26043	25892	25892	25886	0	0.0231731809053031	71.8337218337218
HR19_32_01	34961	29645	29495	29463	27836	27807	13047	0.10418163529242	53.080159672025	37.3187265810474
HR19_32_02	40224	33516	33398	33434	31280	31152	15202	0.409207161125323	51.2005649717514	37.7933571996818
HR19_32_04	39831	34523	34467	34380	32011	31815	15931	0.612289525475617	49.9261354706899	39.9964851497577
HR19_32_16	48523	38838	38758	38702	37556	37367	31305	0.503248482266486	16.222870447186	64.5157966325248
HR19_32_18	50302	41080	40978	40937	38816	38721	27719	0.244744435284417	28.4135223780378	55.1051648045803
HR19_32_19	34652	29910	29791	29779	28554	28487	15232	0.234643132310708	46.5299961385895	43.9570587556274
HR19_34_08	41456	33653	33626	33620	33260	33233	33117	0.0811785929043793	0.349050642433724	79.8846970281744
HR19_35_01	32464	26069	26031	26016	25408	25385	24782	0.0905226700251802	2.37541855426433	76.3368654509611
HR20_31_02	45689	35137	35115	35040	34565	34439	23651	0.364530594532042	31.32495136328	51.7651951235527
HR20_33_02	29106	17587	17555	17571	16915	16903	16531	0.0709429500443406	2.20079275868189	56.7958496529925
HR20_33_12	41478	31527	31428	31023	30280	30235	29598	0.148612945838835	2.10682983297504	71.3583104296253
HR20_36_03	32809	25312	25278	24815	24448	24422	24285	0.106348167539267	0.560969617557944	74.0193239659849
HR21_07A_01	52668	43166	43118	43126	41083	40821	29471	0.637733369033427	27.8043164057715	55.9561783245994
HR21_12_04	56824	44063	43995	43943	42915	42829	41791	0.20039613188861	2.42359149174625	73.5446290299873
HR21_12_06	42081	32966	32896	32914	32304	32177	31753	0.393140168400194	1.31771140877024	75.4568570138542
HR21_19A_01	45846	35837	35739	35737	33705	33399	28715	0.907877169559413	14.0243719871852	62.6335994416089
HR22_07_02	50945	41405	41166	41275	38520	38042	35117	1.24091381100727	7.68887019609905	68.9312003140642
HR22_07_03	42114	31290	31229	30815	28297	28131	27197	0.586634625578682	3.32018058369769	64.5794747589875
HR22_07_05	45393	35777	35679	35656	34181	34107	30135	0.216494543752376	11.6457032280763	66.3868878461437
HR22_09_01	35500	20301	20246	20257	19827	19827	19738	0	0.448882836536029	55.6
